Date, Open, High, Low, Close, Volume
06/20/24, 184.68, 185.21, 179.66, 181.57, 55893141
06/18/24, 186.56, 187.20, 182.37, 184.86, 68982273
06/17/24, 177.92, 188.81, 177.00, 187.44, 109786094
06/14/24, 185.80, 186.00, 176.92, 178.01, 82038195
06/13/24, 188.39, 191.08, 181.23, 182.47, 118984094
06/12/24, 171.12, 180.55, 169.80, 177.29, 90389445
06/11/24, 173.92, 174.75, 167.41, 170.66, 64761930
06/10/24, 176.06, 178.57, 173.17, 173.79, 50869680
06/07/24, 176.13, 179.35, 175.58, 177.48, 56244930
06/06/24, 174.60, 179.73, 172.73, 177.94, 69887023
06/05/24, 175.35, 176.15, 172.13, 175.00, 57953762
06/04/24, 174.775, 177.755, 174.00, 174.77, 60056340
06/03/24, 178.13, 182.6389, 174.49, 176.29, 68568922
05/31/24, 178.50, 180.32, 173.82, 178.08, 67314602
05/30/24, 178.575, 182.67, 175.38, 178.79, 77784758
05/29/24, 174.19, 178.15, 173.93, 176.19, 54782648
05/28/24, 176.40, 178.25, 173.16, 176.75, 59736621
05/24/24, 174.835, 180.08, 173.73, 179.24, 65584477
05/23/24, 181.80, 181.90, 173.26, 173.74, 71975508
05/22/24, 182.85, 183.80, 178.12, 180.11, 88313477
05/21/24, 175.51, 186.875, 174.71, 186.60, 115266492
05/20/24, 177.56, 177.754, 173.52, 174.95, 61727434
05/17/24, 173.55, 179.63, 172.75, 177.46, 77445852
05/16/24, 174.10, 175.79, 171.43, 174.84, 59812219
05/15/24, 179.90, 180.00, 173.11, 173.99, 79662992
05/14/24, 174.496, 179.49, 174.07, 177.55, 86407422
05/13/24, 170.00, 175.40, 169.00, 171.89, 67018898
05/10/24, 173.05, 173.0599, 167.75, 168.47, 72627188
05/09/24, 175.01, 175.62, 171.37, 171.97, 65950289
05/08/24, 171.59, 176.06, 170.15, 174.72, 79969484
05/07/24, 182.40, 183.26, 177.40, 177.81, 75045852
05/06/24, 183.80, 187.56, 182.20, 184.76, 84390250
05/03/24, 182.10, 184.78, 178.42, 181.19, 75491539
05/02/24, 182.86, 184.60, 176.02, 180.01, 89148039
05/01/24, 182.00, 185.86, 179.01, 179.99, 92829719
04/30/24, 186.98, 190.95, 182.8401, 183.28, 127031797
04/29/24, 188.42, 198.87, 184.54, 194.05, 243869703
04/26/24, 168.85, 172.12, 166.37, 168.29, 109815695
04/25/24, 158.96, 170.88, 158.36, 170.18, 126427508
